timestamp,source,message
2024-11-25T15:33:04.000Z,hq-osm-t03,"hq-osm-t03 prometheus[918]: ts=2024-11-25T15:33:04.685Z caller=dedupe.go:112 component=remote level=error remote_name=29bceb url=http://10.10.101.115:9090/api/v1/write msg=""non-recoverable error"" count=500 exemplarCount=0 err=""server returned HTTP status 400 Bad Request: out of order sample"""
2024-11-25T15:30:02.000Z,hq-osm-t03,"hq-osm-t03 prometheus[918]: ts=2024-11-25T15:30:02.546Z caller=dedupe.go:112 component=remote level=error remote_name=29bceb url=http://10.10.101.115:9090/api/v1/write msg=""non-recoverable error"" count=500 exemplarCount=0 err=""server returned HTTP status 400 Bad Request: out of order sample"""
2024-11-25T15:31:02.000Z,hq-osm-t03,"hq-osm-t03 prometheus[918]: ts=2024-11-25T15:31:02.668Z caller=dedupe.go:112 component=remote level=error remote_name=29bceb url=http://10.10.101.115:9090/api/v1/write msg=""non-recoverable error"" count=500 exemplarCount=0 err=""server returned HTTP status 400 Bad Request: out of order sample"""
2024-11-25T12:57:17.000Z,hq-osm-t03,"hq-osm-t03 prometheus[918]: ts=2024-11-25T12:57:17.493Z caller=dedupe.go:112 component=remote level=error remote_name=29bceb url=http://10.10.101.115:9090/api/v1/write msg=""non-recoverable error"" count=500 exemplarCount=0 err=""server returned HTTP status 400 Bad Request: out of order sample"""
2024-11-25T12:58:19.000Z,hq-osm-t03,"hq-osm-t03 icinga-vspheredb[903]: [db] SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, query was: DELETE FROM vspheredb_daemonlog WHERE (ts_create < 1732453099000)"
2024-11-25T13:01:31.000Z,hq-osm-t03,"hq-osm-t03 prometheus[918]: ts=2024-11-25T13:01:31.340Z caller=dedupe.go:112 component=remote level=error remote_name=29bceb url=http://10.10.101.115:9090/api/v1/write msg=""non-recoverable error"" count=500 exemplarCount=0 err=""server returned HTTP status 400 Bad Request: out of order sample"""
2024-11-25T13:03:32.000Z,hq-osm-t03,"hq-osm-t03 prometheus[918]: ts=2024-11-25T13:03:32.524Z caller=dedupe.go:112 component=remote level=INFO remote_name=29bceb url=http://10.10.101.115:9090/api/v1/write msg=""non-recoverable error"" count=500 exemplarCount=0 err=""server returned HTTP status 400 Bad Request: out of order sample"""
2024-11-25T13:02:31.000Z,hq-osm-t03,"hq-osm-t03 prometheus[918]: ts=2024-11-25T13:02:31.842Z caller=dedupe.go:112 component=remote level=error remote_name=29bceb url=http://10.10.101.115:9090/api/v1/write msg=""non-recoverable error"" count=500 exemplarCount=0 err=""server returned HTTP status 400 Bad Request: out of order sample"""
2024-11-25T13:05:21.000Z,hq-osm-t03,hq-osm-t03 pipewire[855659]: mod.rt: RTKit error: org.freedesktop.DBus.Error.AccessDenied
2024-11-25T13:05:22.000Z,hq-osm-t03,hq-osm-t03 pipewire-media-session[855660]: mod.rt: RTKit error: org.freedesktop.DBus.Error.AccessDenied
2024-11-25T13:04:33.000Z,hq-osm-t03,"hq-osm-t03 prometheus[918]: ts=2024-11-25T13:04:33.151Z caller=dedupe.go:112 component=remote level=error remote_name=29bceb url=http://10.10.101.115:9090/api/v1/write msg=""non-recoverable error"" count=500 exemplarCount=0 err=""server returned HTTP status 400 Bad Request: out of order sample"""
2024-11-25T13:05:22.000Z,hq-osm-t03,hq-osm-t03 pipewire[855659]: mod.rt: RTKit error: org.freedesktop.DBus.Error.AccessDenied
2024-11-25T13:05:33.000Z,hq-osm-t03,"hq-osm-t03 prometheus[918]: ts=2024-11-25T13:05:33.268Z caller=dedupe.go:112 component=remote level=error remote_name=29bceb url=http://10.10.101.115:9090/api/v1/write msg=""non-recoverable error"" count=500 exemplarCount=0 err=""server returned HTTP status 400 Bad Request: out of order sample"""
2024-11-25T12:59:31.000Z,hq-osm-t03,"hq-osm-t03 prometheus[918]: ts=2024-11-25T12:59:31.108Z caller=dedupe.go:112 component=remote level=error remote_name=29bceb url=http://10.10.101.115:9090/api/v1/write msg=""non-recoverable error"" count=500 exemplarCount=0 err=""server returned HTTP status 400 Bad Request: out of order sample"""
2024-11-25T13:00:31.000Z,hq-osm-t03,"hq-osm-t03 prometheus[918]: ts=2024-11-25T13:00:31.250Z caller=dedupe.go:112 component=remote level=error remote_name=29bceb url=http://10.10.101.115:9090/api/v1/write msg=""non-recoverable error"" count=500 exemplarCount=0 err=""server returned HTTP status 400 Bad Request: out of order sample"""
2024-11-25T13:08:46.000Z,hq-osm-t03,"hq-osm-t03 prometheus[918]: ts=2024-11-25T13:08:46.080Z caller=dedupe.go:112 component=remote level=error remote_name=29bceb url=http://10.10.101.115:9090/api/v1/write msg=""non-recoverable error"" count=500 exemplarCount=0 err=""server returned HTTP status 400 Bad Request: out of order sample"""
2024-11-25T15:04:30.000Z,hq-osm-t03,"hq-osm-t03 prometheus[918]: ts=2024-11-25T15:04:30.967Z caller=dedupe.go:112 component=remote level=error remote_name=29bceb url=http://10.10.101.115:9090/api/v1/write msg=""non-recoverable error"" count=500 exemplarCount=0 err=""server returned HTTP status 400 Bad Request: out of order sample"""
