"timestamp","source","message"
"2024-12-08T12:50:28.000Z","hq-osm-t03","/var/log/icinga2/icinga2.log - [2024-12-08 15:50:26 +0300] warning/InfluxdbWriter: Unexpected response code: Internal Server Error"
"2024-12-08T12:50:28.000Z","hq-osm-t03","/var/log/icinga2/icinga2.log - [2024-12-08 15:50:26 +0300] critical/InfluxdbWriter: InfluxDB error message:"
"2024-12-08T12:49:10.000Z","hq-osm-t03","hq-osm-t03 influxd[1886944]: ts=2024-12-08T12:49:10.785952Z lvl=info msg=""Error writing snapshot"" log_id=0t358SsW000 engine=tsm1 error=""error opening new segment file for wal (1): write /var/lib/influxdb/wal/_internal/monitor/364/_00067.wal: no space left on device"""
"2024-12-08T12:49:10.000Z","hq-osm-t03","hq-osm-t03 influxd[1886944]: ts=2024-12-08T12:49:10.788142Z lvl=info msg=""Error writing snapshot"" log_id=0t358SsW000 engine=tsm1 error=""error opening new segment file for wal (1): write /var/lib/influxdb/wal/_internal/monitor/362/_00074.wal: no space left on device"""
"2024-12-08T12:49:10.000Z","hq-osm-t03","hq-osm-t03 influxd[1886944]: ts=2024-12-08T12:49:10.787049Z lvl=info msg=""Error writing snapshot"" log_id=0t358SsW000 engine=tsm1 error=""error opening new segment file for wal (1): write /var/lib/influxdb/wal/_internal/monitor/363/_00074.wal: no space left on device"""
"2024-12-08T12:49:11.000Z","hq-osm-t03","hq-osm-t03 influxd[1886944]: ts=2024-12-08T12:49:11.786473Z lvl=info msg=""Error writing snapshot"" log_id=0t358SsW000 engine=tsm1 error=""error opening new segment file for wal (1): write /var/lib/influxdb/wal/_internal/monitor/364/_00067.wal: no space left on device"""
"2024-12-08T12:49:10.000Z","hq-osm-t03","hq-osm-t03 influxd[1886944]: ts=2024-12-08T12:49:10.987621Z lvl=info msg=""Error writing snapshot"" log_id=0t358SsW000 engine=tsm1 error=""error opening new segment file for wal (1): write /var/lib/influxdb/wal/icinga2influx/autogen/359/_00134.wal: no space left on device"""
"2024-12-08T12:49:11.000Z","hq-osm-t03","hq-osm-t03 influxd[1886944]: ts=2024-12-08T12:49:11.787569Z lvl=info msg=""Error writing snapshot"" log_id=0t358SsW000 engine=tsm1 error=""error opening new segment file for wal (1): write /var/lib/influxdb/wal/_internal/monitor/362/_00074.wal: no space left on device"""
"2024-12-08T12:49:11.000Z","hq-osm-t03","hq-osm-t03 influxd[1886944]: ts=2024-12-08T12:49:11.786499Z lvl=info msg=""Error writing snapshot"" log_id=0t358SsW000 engine=tsm1 error=""error opening new segment file for wal (1): write /var/lib/influxdb/wal/_internal/monitor/363/_00074.wal: no space left on device"""
"2024-12-08T12:49:12.000Z","hq-osm-t03","hq-osm-t03 prometheus[918]: ts=2024-12-08T12:49:12.403Z caller=dedupe.go:112 component=remote level=error remote_name=29bceb url=http://10.10.101.115:9090/api/v1/write msg=""non-recoverable error"" count=500 exemplarCount=0 err=""server returned HTTP status 400 Bad Request: out of order sample"""
